ProgramName,Location,PhoneNumber,Website,MealInformation
South Seattle,Asian Counseling and Referral Services,"3639 MLK Jr. Way S. Seattle, WA 98144",206-695-7522,www.acrs.org,Open to all: Friday 10:30 AM
South Seattle,Community Kitchen Coalition,"4437 41st Ave S. Seattle, WA 98188",Not Available,www.communitykitchensnw.org,Open to all: See website for schedule of shared meals 
South Seattle,Heroes for the Homeless,Various Locations,425-985-7852,www.heroesforthehomeless.org,Open to all: Serves at various outdoor meal sites on the 2nd and last Saturday each month
South Seattle,Latino Hot Meal,"2524 16th Ave S.W. Seattle, WA 98144",206-329-7960,www.elcentrodelaraza.org,"Open to all: Monday through Friday 12:00 pm (noon) to 1:00 pm , closed some holidays"
South Seattle,St. Vincent de Paul Food Bank,"5950 4th Ave S. Seattle, WA 98108",206-283-2104,www.svdpseattle.org,Open to all: Monday through Friday sandwiches and soup are given out 8:30 am 11:00 am 
South Seattle,South Park Breakfast Bunch,"8201 10th Ave S. Seattle, WA 98108",206-767-3650,www.allaboutsouthpark.com,"Open to all: Breakfast, Sunday through Friday 5:30 am to 8:30 am"
South Seattle,South Park Senior Meals,"8201 10th Ave S. Seattle, WA 98108",206-767-3650,www.allaboutsouthpark.com,Open to all: Dinner;  Monday & Friday 5:30 pm
South Seattle,Latino Lunch,"8201 10th Ave S. Seattle, WA 98108",206-764-0494,www.allaboutsouthpark.com,Open to all: Lunch; Tuesdays 11:30 am
South Seattle,Samoan American Pacific lunch,"8201 10th Ave S. Seattle, WA 98108",253-230-7959,www.allaboutsouthpark.com,Open to all: Lunch; Wednesdays & Fridays 11:30 am
Central Seattle,AOK Friends,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",Not Available,No Website,"Open to all: Every Sunday, Lunch 1:00 pm to 2:00 pm (3rd Sunday meal served at Noon to 1:00 pm)"
Central Seattle,Bread of Life Mission,"97 South Main Street, Seattle, WA 98104",206-682-3579,www.breadoflifemission.org,"Open to all: Lunch, Tuesday and Thursday 12-12:30 pm; Dinner, Monday through Saturday 7:30 - 8:15 pm"
Central Seattle,Bible Study Outreach Ministries,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",206-229-5319,No Website,Open to all: Saturday at 12:00 pm - 1:00 pm.
